,sector_y,period,company,ticker,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,pay_out_ratio,net_debt_ebitda,net_interest_ebitda,net_debt_equity,asset_turn_over,free_cash_flow,fcf_dividends,debt_to_fcf,fcf_revenues,interest_coverage_fcf,sg_a_ratio,op_expense_ratio,r_and_d_ratio,cash_ratio,wk_turnover,ebitda_margin,ebit_margin,pre_tax_margin,tax_to_revenues,target
0,industrials,2018-09-30,3M,MMM,0.49,0.19899999999999998,0.138,0.44,0.122,1.104,1.966,2.615,0.39799999999999996,0.6861878453038674,1.4173238202528478,0.02465890599574415,1.0981476093492386,0.8802146210596915,4996,0.6214971977582066,2.2664131305044037,0.15227064919231942,0.03943154523618895,0.23474550441938433,0.29088692471807376,0.056141420298689425,0.48023446019629223,0.2158793050899116,0.24349283754952758,0.19881133800670528,0.21188661993294727,0.07354465102103018,0
1,health_care,2018-09-30,ABBOTT LABORATORIES,ABT,0.564,0.085,0.017,0.015,0.006999999999999999,9.17,1.661,1.244,0.309,3.9495798319327733,3.2376201705060765,0.14057681842916742,0.5648238979779121,0.4011536074913973,4365,0.4306987399770905,4.0891179839633445,0.15345403410089647,0.1775486827033219,0.3263842503076112,0.4787133063807347,0.08071717349270523,0.4486126526082131,0.20931622429249427,0.19381262084724907,0.08486552997011777,0.06770961504658111,0.054491123220249606,1
2,health_care,2018-09-30,AbbVie Inc.,ABBV,0.7490000000000001,0.35600000000000004,0.20800000000000002,-1.911,0.105,1.515,0.804,-19.264,0.602,0.7325166692510466,2.6359614473060513,0.08113446042028756,-9.886222222222223,0.5020359825440859,9770,0.4835209825997953,3.4151484135107473,0.3157112389323337,0.10511770726714433,0.22503716150714148,0.3931364312027403,0.1680992696955988,0.21731305155596842,-0.10919020228785627,0.40903509338848315,0.3561688101854844,0.2616493246300006,0.053254055451431526,1
3,information_tech,2018-09-30,Accenture plc,ACN,0.299,0.14,0.10099999999999999,0.39299999999999996,0.172,1.037,1.338,1.28,0.001,0.42093596059113303,-0.7446808510638298,-0.005466903073286052,-0.4699300699300699,1.7016237882939997,4210,0.405938242280285,-1.1971496437054632,0.10119462538759225,-0.008788598574821853,0.15869047905199143,0.15869047905199143,0.0,0.4989164696611505,0.0825421243660313,0.16268057592000576,0.14039852895223903,0.13960531692426026,0.03829050789606519,2
4,information_tech,2018-09-30,Activision Blizzard,ATVI,0.652,0.207,0.07,0.049,0.027999999999999997,2.7769999999999997,2.978,0.736,0.245,0.5118577075098815,-0.2094075079149706,0.051560379918588875,-0.044751594819253816,0.40466644392471324,1405,0.18434163701067616,-0.3295373665480427,0.19333975505710746,0.08113879003558719,0.2928306041007293,0.4448878491812302,0.1520572450805009,2.357766990291262,0.5606164854823174,0.3042520985275905,0.20723820008256502,0.18989954589239025,0.12026971239851383,2
5,industrials,2018-09-30,ACUITY BRANDS INC,AYI,0.40399999999999997,0.125,0.095,0.204,0.11699999999999999,1.014,1.774,0.741,0.122,0.06,0.43622920517560076,0.06284658040665435,0.1374490390215492,1.2311809969889596,355,0.059154929577464786,0.6647887323943662,0.09646739130434782,0.09577464788732394,0.27907608695652175,0.27907608695652175,0.0,0.18887262079062958,0.14347826086956522,0.1470108695652174,0.125,0.11576086956521739,0.020652173913043477,0
6,information_tech,2018-09-30,ADOBE SYSTEMS INC,ADBE,0.866,0.312,0.244,0.218,0.126,1.545,2.115,0.7340000000000001,0.125,0.0,-1.5686490455212923,0.027900146842878122,-0.4949038684271485,0.5141922126494356,2903,0.0,-1.4719255942128833,0.3770619560981946,0.026179813985532208,0.3770619560981946,0.5539680477984154,0.1672944538251721,1.73868778280543,0.5124042083387453,0.3538121834004416,0.3119885699441486,0.30913105598129625,0.06507338615404598,2
7,consumer_discretionary,2018-09-30,ADVANCE AUTO PARTS INC,AAP,0.436,0.065,0.057,0.146,0.061,1.472,1.633,1.415,0.11800000000000001,0.03364485981308411,0.16784037558685447,0.06690140845070422,0.03909240021869874,1.0660932548664555,788,0.02284263959390863,0.1814720812182741,0.08365180467091295,0.07233502538071065,0.3711252653927813,0.3711252653927813,0.0,0.2506948304613674,0.24203821656050956,0.09044585987261146,0.06475583864118896,0.05912951167728238,0.002335456475583864,3
8,information_tech,2018-09-30,ADVANCED MICRO DEVICES INC,AMD,0.35100000000000003,0.037000000000000005,0.013999999999999999,0.113,0.021,0.358,1.621,4.263,0.369,0.0,0.9397260273972603,0.3424657534246575,0.4797202797202797,1.5205952697315972,29,0.0,11.827586206896552,0.005068157986717931,4.310344827586207,0.09210066410346032,0.31370150297098914,0.22160083886752885,0.6157925751325869,0.18420132820692064,0.06378888500524292,0.03687521845508564,0.018874519398811605,0.003670045438657812,2
9,utilities,2018-09-30,AES CORP,AES,0.24,0.22,-0.009000000000000001,-0.015,-0.003,1.959,1.115,4.109,0.604,-0.7136563876651982,5.132796780684105,-0.0005748778384593274,2.8006587202007527,0.3281552205814632,-889,-0.3644544431946007,-20.086614173228348,-0.08316961362148002,0.0022497187851518562,0.004022827205538404,0.006174571989896155,0.0,0.3751025430680886,0.05257741603517635,0.3254747871643746,0.21957152212554962,0.0043034895687155015,0.0007484329684722612,4
10,health_care,2018-09-30,AGILENT TECHNOLOGIES INC,A,0.541,0.185,0.05,0.051,0.027000000000000003,0.489,3.315,0.902,0.24100000000000002,0.7637130801687764,-0.8319405756731661,0.04178272980501393,-0.19406541043967945,0.5373406193078324,116,1.5603448275862069,-7.724137931034483,0.02457627118644068,0.3879310344827586,0.2146186440677966,0.29936440677966103,0.07669491525423729,2.205860805860806,0.6694915254237288,0.2281779661016949,0.18495762711864408,0.06800847457627118,0.028389830508474576,1
11,materials,2018-09-30,AIR PRODUCTS & CHEMICALS INC /DE/,APD,0.302,0.214,0.175,0.14300000000000002,0.081,0.634,2.396,0.777,0.20199999999999999,0.570673712021136,0.3094565984474241,0.10162314749470713,0.08112858464384828,0.459960429032594,960,0.9,0.9135416666666667,0.10867104369481549,0.3,0.010414308354086485,0.06939098935929364,0.006452343219379669,1.418957345971564,0.33348426533846504,0.3208059769074032,0.21383291827031922,0.0698437853746887,-0.01867783563504641,5
12,information_tech,2018-09-30,AKAMAI TECHNOLOGIES INC,AKAM,0.648,0.136,0.077,0.057999999999999996,0.042,2.323,1.291,0.384,0.14300000000000002,0.0,-0.19350473612990526,0.20568335588633288,-0.04223272297696397,0.5485385107744826,458,0.0,-0.31222707423580787,0.1781408012446519,0.3318777292576419,0.11085180863477247,0.19875534811357448,0.09140412290937379,0.717948717948718,0.1279657720731233,0.28743679502139247,0.13574484636328277,0.06339945546479969,-0.0007779074290159471,2
13,industrials,2018-09-30,"ALASKA AIR GROUP, INC.",ALK,0.348,0.168,0.122,0.278,0.08900000000000001,0.7140000000000001,0.8009999999999999,2.106,0.239,0.15416666666666667,0.5589622641509434,0.001768867924528302,0.27398843930635836,0.7345989205285688,685,0.21605839416058395,1.383941605839416,0.08677476564479351,0.004379562043795621,0.01266784899923993,0.02520901950848746,0.0,0.603499627699181,-0.06764631365594122,0.2148467190271092,0.16772232074993665,0.004940461109703572,0.0005067139599695972,0
14,materials,2018-09-30,ALBEMARLE CORP,ALB,0.366,0.204,0.055,0.045,0.023,-2.326,2.485,0.9159999999999999,0.195,1.0518518518518518,0.9212690951821386,0.01762632197414806,0.19883337560233325,0.41979883536262574,-314,-0.45222929936305734,-2.4968152866242037,-0.09899117276166457,-0.04777070063694268,0.02112232030264817,0.032471626733921816,0.0255359394703657,0.7963176064441887,0.40668348045397223,0.2682849936948298,0.20460277427490542,-0.0012610340479192938,0.0009457755359394704,5
15,industrials,2018-09-30,ALCOA INC.,ARNC,0.21100000000000002,0.105,-0.006,-0.015,-0.004,12.73,2.259,2.801,0.366,-2.189189189189189,2.4511749347258487,0.05430809399477807,0.9532900081234769,0.692381664707768,-942,-0.17197452229299362,-4.983014861995754,-0.07268518518518519,-0.11040339702760085,0.021604938271604937,0.08194444444444444,0.008410493827160494,0.7613314447592068,0.2742283950617284,0.14776234567901234,0.10524691358024692,0.08942901234567902,0.046296296296296294,0
16,real_estate,2018-09-30,Alexandria Real Estate Equities Inc,ARE,0.711,0.275,0.172,0.03,0.016,-1.07,0.177,0.867,0.39399999999999996,2.220689655172414,6.204951856946355,0.04264099037138927,0.6958198364954497,0.09319233311302048,-155,-2.07741935483871,-29.10322580645161,-0.1374113475177305,-0.2,0.004432624113475178,0.11081560283687943,0.0,0.15611555009219422,-1.1879432624113475,0.6445035460992907,0.27570921985815605,0.07180851063829788,0.0,6
17,health_care,2018-09-30,ALEXION PHARMACEUTICALS INC,ALXN,0.872,0.226,0.125,0.05,0.033,1.508,3.1010000000000004,0.527,0.23800000000000002,0.0,1.350499615680246,0.11760184473481937,0.1975711233554481,0.2614297283368917,668,0.0,2.6302395209580838,0.18811602365530836,0.22904191616766467,0.02450014080540693,0.15404111517882288,0.2472542945649113,1.546694648478489,0.5635032385243594,0.3663756688256829,0.22641509433962265,0.1315122500704027,0.0,1
18,industrials,2018-09-30,Allegion plc,ALLE,0.445,0.204,0.115,0.682,0.109,1.3230000000000002,2.713,5.269,0.581,0.22344322344322345,1.8085867620751341,0.059033989266547404,2.4901477832512313,0.9472856018882769,361,0.16897506925207756,2.8005540166204987,0.14991694352159468,0.09141274238227147,0.1777408637873754,0.3745847176079734,0.0,1.2393617021276595,0.26785714285714285,0.23214285714285715,0.20473421926910298,0.08264119601328904,0.0004152823920265781,0
19,health_care,2018-09-30,Allergan plc,AGN,0.8640000000000001,-0.371,-0.258,-0.055999999999999994,-0.035,-1.965,1.155,0.603,0.254,-0.276566757493188,16.327574291637873,0.046993780234968904,0.319975080244322,0.13470281049838603,8654,0.1407441645481858,2.730067021030737,0.5428768584154068,0.00785763808643402,0.15802019948560317,0.23110218932312904,0.22282165485226774,0.6548537774167343,0.0959161909541434,0.09077222257072956,-0.3714321560755285,0.10858791794743115,0.028730945361018757,1
20,information_tech,2018-09-30,ALLIANCE DATA SYSTEMS CORP,ADS,0.461,0.22699999999999998,0.121,0.414,0.032,1.87,2.405,11.99,0.446,0.12947368421052632,4.259242957746479,0.02992957746478873,4.223919685726757,0.26348150388065716,1776,0.06925675675675676,5.448761261261262,0.22647283856159142,0.038288288288288286,0.04386636062229023,0.07370568732466208,0.0,0.3615824882016267,1.7848763070645244,0.28972200969140527,0.22736546799285898,0.02384595766386126,0.0019127773527161439,2
21,utilities,2018-09-30,ALLIANT ENERGY CORP,LNT,1.0,0.195,0.142,0.11,0.034,-1.159,0.35,2.214,0.375,0.6150627615062761,4.64254577157803,0.0,1.2014891696750902,0.24189018396292655,-554,-0.5306859205776173,-9.611913357400722,-0.16081277213352685,-0.0,0.0,0.0,0.0,0.009161041465766635,-0.39129172714078375,0.3329462989840348,0.19506531204644412,0.06734397677793905,0.00725689404934688,4
