,ticker,company,sector_y,period
0,A,AGILENT TECHNOLOGIES INC,health_care,2011-09-30
1,A,AGILENT TECHNOLOGIES INC,health_care,2012-09-30
2,A,AGILENT TECHNOLOGIES INC,health_care,2013-09-30
3,A,AGILENT TECHNOLOGIES INC,health_care,2014-09-30
4,A,AGILENT TECHNOLOGIES INC,health_care,2015-09-30
5,A,AGILENT TECHNOLOGIES INC,health_care,2016-09-30
6,A,AGILENT TECHNOLOGIES INC,health_care,2017-09-30
7,A,AGILENT TECHNOLOGIES INC,health_care,2018-09-30
8,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2010-09-30
9,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2011-09-30
10,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2012-09-30
11,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2013-09-30
12,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2014-09-30
13,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2015-09-30
14,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2016-09-30
15,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2017-09-30
16,AAP,ADVANCE AUTO PARTS INC,consumer_discretionary,2018-09-30
17,AAPL,APPLE INC,information_tech,2009-09-30
18,AAPL,APPLE INC,information_tech,2010-09-30
19,AAPL,APPLE INC,information_tech,2011-09-30
20,AAPL,APPLE INC,information_tech,2012-09-30
21,AAPL,APPLE INC,information_tech,2013-09-30
22,AAPL,APPLE INC,information_tech,2014-09-30
23,AAPL,APPLE INC,information_tech,2015-09-30
24,ABBV,AbbVie Inc.,health_care,2013-09-30
25,ABBV,AbbVie Inc.,health_care,2014-09-30
26,ABBV,AbbVie Inc.,health_care,2015-09-30
27,ABBV,AbbVie Inc.,health_care,2016-09-30
28,ABBV,AbbVie Inc.,health_care,2017-09-30
29,ABBV,AbbVie Inc.,health_care,2018-09-30
30,ABC,AMERISOURCEBERGEN CORP,health_care,2009-09-30
31,ABC,AMERISOURCEBERGEN CORP,health_care,2011-09-30
32,ABC,AMERISOURCEBERGEN CORP,health_care,2012-09-30
33,ABC,AMERISOURCEBERGEN CORP,health_care,2013-09-30
34,ABC,AMERISOURCEBERGEN CORP,health_care,2014-09-30
35,ABC,AMERISOURCEBERGEN CORP,health_care,2015-09-30
36,ABT,ABBOTT LABORATORIES,health_care,2010-09-30
37,ABT,ABBOTT LABORATORIES,health_care,2011-09-30
38,ABT,ABBOTT LABORATORIES,health_care,2012-09-30
39,ABT,ABBOTT LABORATORIES,health_care,2013-09-30
40,ABT,ABBOTT LABORATORIES,health_care,2014-09-30
41,ABT,ABBOTT LABORATORIES,health_care,2015-09-30
42,ABT,ABBOTT LABORATORIES,health_care,2016-09-30
43,ABT,ABBOTT LABORATORIES,health_care,2017-09-30
44,ABT,ABBOTT LABORATORIES,health_care,2018-09-30
45,ACN,Accenture plc,information_tech,2009-09-30
46,ACN,Accenture plc,information_tech,2010-09-30
47,ACN,Accenture plc,information_tech,2011-09-30
48,ACN,Accenture plc,information_tech,2012-09-30
49,ACN,Accenture plc,information_tech,2013-09-30
50,ACN,Accenture plc,information_tech,2014-09-30
51,ACN,Accenture plc,information_tech,2015-09-30
52,ACN,Accenture plc,information_tech,2016-09-30
53,ACN,Accenture plc,information_tech,2017-09-30
54,ACN,Accenture plc,information_tech,2018-09-30
55,ADBE,ADOBE SYSTEMS INC,information_tech,2010-09-30
56,ADBE,ADOBE SYSTEMS INC,information_tech,2011-09-30
57,ADBE,ADOBE SYSTEMS INC,information_tech,2012-09-30
58,ADBE,ADOBE SYSTEMS INC,information_tech,2013-09-30
59,ADBE,ADOBE SYSTEMS INC,information_tech,2014-09-30
60,ADBE,ADOBE SYSTEMS INC,information_tech,2015-09-30
61,ADBE,ADOBE SYSTEMS INC,information_tech,2016-09-30
62,ADBE,ADOBE SYSTEMS INC,information_tech,2017-09-30
63,ADBE,ADOBE SYSTEMS INC,information_tech,2018-09-30
64,ADI,ANALOG DEVICES INC,information_tech,2009-09-30
65,ADI,ANALOG DEVICES INC,information_tech,2010-09-30
66,ADI,ANALOG DEVICES INC,information_tech,2011-09-30
67,ADI,ANALOG DEVICES INC,information_tech,2012-09-30
68,ADI,ANALOG DEVICES INC,information_tech,2013-09-30
69,ADI,ANALOG DEVICES INC,information_tech,2014-09-30
70,ADI,ANALOG DEVICES INC,information_tech,2015-09-30
71,ADI,ANALOG DEVICES INC,information_tech,2016-09-30
72,ADI,ANALOG DEVICES INC,information_tech,2017-09-30
73,ADI,ANALOG DEVICES INC,information_tech,2018-09-30
74,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2010-09-30
75,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2011-09-30
76,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2012-09-30
77,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2013-09-30
78,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2014-09-30
79,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2015-09-30
80,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2016-09-30
81,ADM,ARCHER DANIELS MIDLAND CO,consumer_staples,2018-09-30
82,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2009-09-30
83,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2010-09-30
84,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2011-09-30
85,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2012-09-30
86,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2013-09-30
87,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2014-09-30
88,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2015-09-30
89,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2016-09-30
90,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2017-09-30
91,ADP,AUTOMATIC DATA PROCESSING INC,information_tech,2018-09-30
92,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2010-09-30
93,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2011-09-30
94,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2012-09-30
95,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2013-09-30
96,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2014-09-30
97,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2015-09-30
98,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2016-09-30
99,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2017-09-30
100,ADS,ALLIANCE DATA SYSTEMS CORP,information_tech,2018-09-30
101,ADSK,AUTODESK INC,information_tech,2010-09-30
102,ADSK,AUTODESK INC,information_tech,2011-09-30
103,ADSK,AUTODESK INC,information_tech,2012-09-30
104,ADSK,AUTODESK INC,information_tech,2013-09-30
105,ADSK,AUTODESK INC,information_tech,2014-09-30
106,ADSK,AUTODESK INC,information_tech,2015-09-30
107,ADSK,AUTODESK INC,information_tech,2016-09-30
108,ADSK,AUTODESK INC,information_tech,2017-09-30
109,ADSK,AUTODESK INC,information_tech,2018-09-30
110,AEE,AMEREN CORP,utilities,2009-09-30
111,AEE,AMEREN CORP,utilities,2010-09-30
112,AEE,AMEREN CORP,utilities,2011-09-30
113,AEE,AMEREN CORP,utilities,2012-09-30
114,AEE,AMEREN CORP,utilities,2013-09-30
115,AEE,AMEREN CORP,utilities,2014-09-30
116,AEE,AMEREN CORP,utilities,2015-09-30
117,AEE,AMEREN CORP,utilities,2016-09-30
118,AEE,AMEREN CORP,utilities,2017-09-30
119,AEE,AMEREN CORP,utilities,2018-09-30
120,AEP,AMERICAN ELECTRIC POWER CO INC,utilities,2009-09-30
121,AEP,AMERICAN ELECTRIC POWER CO INC,utilities,2010-09-30
