period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/18,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,"1,162",667,57,42,74,-5,38,570,104,322,42.60%,3.60%,4.90%,17.70%,10.00%,75.00%,234.70%,76.90%,18.30%,0,173,282,120,382,453,4,53,-4
9/30/18,1&1 Drillisch AG,Communication Services,DRI.DE,"3,999","2,732",394,635,765,-391,0,"6,073",0,"4,857",31.70%,15.90%,9.90%,8.10%,6.50%,39.80%,127.40%,25.00%,0.00%,-337,6,936,734,628,632,1,595,201
9/30/18,1ST SOURCE CORP,Banks,SRCE,292,,71,101,108,-104,,"6,051",486,726,,34.80%,24.30%,9.80%,1.20%,-40.60%,,734.00%,8.00%,-22,29,,,,,,101,30
9/30/18,21st Century Fox,Entertainment,FOX,"29,351","19,156","3,961","5,973","6,540","-1,554",0,"52,858","19,794","19,631",34.70%,20.30%,14.40%,21.60%,8.00%,110.60%,216.00%,169.30%,37.50%,-974,"5,809","17,402","8,055","3,655","4,222","1,208","4,065",-199
9/30/18,"2U, Inc.",Application Software,TWOU,314,117,-41,-43,-19,-8,0,504,0,386,62.90%,-13.50%,-13.00%,-10.60%,-8.10%,208.50%,224.90%,30.60%,0.00%,0,182,237,106,240,240,0,-43,-3
9/30/18,3D SYSTEMS CORP,Computer Hardware,DDD,656,353,-77,-62,0,-21,98,898,8,618,46.20%,-9.50%,-11.70%,-12.40%,-8.50%,87.20%,201.50%,45.20%,0.90%,0,122,439,218,267,365,5,-68,9
9/30/18,3M,Industrial Products,MMM,"32,810","16,743","4,525","6,523","7,989",766,"1,842","37,275","14,846","10,311",49.00%,19.90%,13.80%,44.00%,12.20%,110.40%,196.60%,261.50%,39.80%,"-3,105","3,523","14,419","7,336","7,702","9,544",197,"6,952","2,413"
9/30/18,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,64,8,23,24,49,9,0,,0,,87.60%,37.30%,22.90%,,,294.10%,,,,0,,,,7,32,14,11,15
9/30/18,8X8 INC /DE/,Application Software,EGHT,242,59,-116,-37,-20,7,32,316,0,252,75.40%,-15.50%,-47.80%,-45.90%,-36.60%,78.20%,306.30%,25.30%,0.00%,0,144,186,61,188,220,0,-47,69
9/30/18,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,"2,099","1,556",-353,-158,-77,146,0,"1,713",964,280,25.90%,-7.50%,-16.80%,-126.20%,-20.60%,-14.10%,127.20%,511.70%,56.30%,0,3,321,253,0,701,69,-327,27
